grade_id,student_id,module_id,score,grade
268,10412,CH121,96,A
269,10415,EL122,99,A
270,10416,EN123,87,A
271,10419,PH124,50,D
272,10423,AD125,66,C
273,10425,EL126,85,A
274,10428,MA127,48,F
275,10430,LI128,81,A
276,10433,RE129,80,A
277,10434,DI130,42,F
278,10435,IN131,66,C
279,10437,BA132,85,A
280,10441,AN133,46,F
281,10443,GE134,95,A
282,10447,GE135,81,A
283,10450,EL136,81,A
284,10454,AN137,85,A
285,10456,BA139,96,A
286,10461,FI140,55,D
287,10462,BI142,46,F
288,10464,AN143,43,F
289,10465,GE144,48,F
290,10468,AN145,47,F
291,10469,FI146,98,A
292,10474,PA147,89,A
293,10475,RE148,49,F
294,10478,BI149,66,C
295,10480,AN150,73,B
296,10481,AN151,81,A
297,10482,AN152,78,B
298,10484,PH153,88,A
299,10489,PH154,46,F
300,10491,FI155,62,C
301,10493,RA156,97,A
302,10495,PR157,44,F
303,10498,PR158,40,F
304,10500,DA160,94,A
305,10502,AP162,57,D
306,10504,DA163,76,B
307,10505,PR164,70,B
308,10507,PR165,88,A
309,10512,ST166,58,D
310,10513,DA167,48,F
311,10516,DA168,88,A
312,10517,MA169,53,D
313,10522,AP170,77,B
314,10529,DA171,61,C
315,10533,ST172,48,F
316,10534,MA173,64,C
317,10539,DI174,84,A
318,10540,SO175,47,F
319,10542,AD176,82,A
320,10547,NE177,44,F
321,10548,PR178,63,C
322,10551,WE179,91,A
323,10552,AP180,44,F
324,10553,EN181,83,A
325,10563,DA182,46,F
326,10564,CO183,74,B
327,10566,AP184,78,B
328,10567,WE185,72,B
329,10568,DI186,93,A
330,10569,SU187,61,C
331,10571,CL188,46,F
332,10576,TH189,60,C
333,10577,TH190,98,A
334,10578,TH191,70,B
335,10582,TH192,81,A
336,10585,PS193,45,F
337,10586,GE194,71,B
338,10589,EX195,77,B
339,10590,ET196,73,B
340,10591,TH197,70,B
341,10596,SE199,57,D
342,10597,RE200,88,A
343,10600,DI201,66,C
344,10603,IN202,90,A
345,10604,IN204,61,C
346,10607,PR205,99,A
347,10610,FO206,77,B
348,10611,PS207,55,D
349,10615,FO208,89,A
350,10616,PR209,98,A
351,10619,ET210,48,F
352,10620,DI211,67,C
353,10621,RE212,91,A
354,10623,SO213,59,D
355,10624,PR214,90,A
356,10625,ET215,80,A
357,10630,LA216,90,A
358,10633,JU217,52,D
359,10639,PR218,91,A
360,10640,IN219,65,C
361,10643,LA220,91,A
362,10645,CR221,93,A
363,10646,LE222,98,A
364,10650,AR223,53,D
365,10651,CI224,48,F
366,10656,PR225,60,C
367,10657,PR226,49,F
368,10660,PR227,69,C
369,10663,QU228,98,A
370,10664,IN229,73,B
371,10666,CO230,97,A
372,10667,AD231,92,A
373,10671,TR232,47,F
374,10673,AD233,42,F
375,10675,AU234,46,F
376,10677,IN235,77,B
377,10685,AC236,61,C
378,10690,DI237,84,A
379,10691,RE238,73,B
380,10695,PR239,88,A
381,10697,AP240,51,D
382,10699,BU241,90,A
383,10700,PR242,65,C
384,10702,FI243,82,A
385,10704,DA244,62,C
386,10705,BU245,92,A
387,10706,AP246,62,C
388,10707,AP247,78,B
389,10713,PR248,97,A
390,10714,OP249,59,D
391,10716,ET250,43,F
392,10718,ST251,51,D
393,10719,EL252,84,A
394,10720,MA100,95,A
395,10724,CH101,71,B
396,10736,EN102,63,C
397,10737,BA103,72,B
398,10741,ME104,88,A
399,10743,EN105,83,A
400,10748,PH106,96,A
401,10749,PR107,44,F
402,10750,EL108,98,A
403,10751,IN109,57,D
404,10753,DI110,78,B
405,10754,EL111,58,D
406,10755,EL112,63,C
407,10758,EL113,87,A
408,10765,CM114,54,D
409,10766,CO115,60,C
410,10767,EL116,97,A
411,10769,EL118,89,A
412,10777,UT119,81,A
413,10778,MA120,47,F
414,10782,CH121,60,C
415,10785,EN123,42,F
416,10786,PH124,94,A
417,10787,AD125,93,A
418,10788,EL126,65,C
419,10795,MA127,82,A
420,10796,LI128,70,B
421,10797,RE129,88,A
422,10798,DI130,45,F
423,10799,IN131,98,A
424,10800,BA132,51,D
425,10801,AN133,67,C
426,10802,GE134,51,D
427,10807,GE135,42,F
428,10808,EL136,97,A
429,10811,AN137,93,A
430,10813,BA138,53,D
431,10816,BA139,60,C
432,10820,FI140,97,A
433,10823,AN141,77,B
434,10828,BI142,81,A
435,10829,AN143,83,A
436,10833,GE144,61,C
437,10836,AN145,100,A
438,10841,FI146,58,D
439,10842,PA147,53,D
440,10843,RE148,71,B
441,10844,BI149,50,D
442,10846,AN150,86,A
443,10852,AN151,83,A
444,10854,PH153,65,C
445,10856,PH154,68,C
446,10859,FI155,62,C
447,10860,RA156,82,A
448,10861,PR157,74,B
449,10863,PR158,87,A
450,10865,ST159,88,A
451,10869,DA160,71,B
452,10871,DA161,49,F
453,10873,AP162,78,B
454,10877,DA163,49,F
455,10878,PR164,47,F
456,10879,PR165,82,A
457,10881,ST166,42,F
458,10884,DA167,41,F
459,10886,DA168,78,B
460,10892,MA169,69,C
461,10895,AP170,44,F
462,10903,DA171,46,F
463,10905,ST172,43,F
464,10906,MA173,79,B
465,10915,DI174,97,A
466,10917,SO175,52,D
467,10918,AD176,96,A
468,10919,NE177,56,D
469,10920,PR178,52,D
470,10923,WE179,54,D
471,10924,AP180,79,B
472,10927,EN181,65,C
473,10928,DA182,62,C
474,10929,CO183,59,D
475,10930,AP184,75,B
476,10936,WE185,78,B
477,10941,DI186,81,A
478,10942,CL188,64,C
479,10944,TH189,63,C
480,10946,TH190,76,B
481,10949,TH191,61,C
482,10951,TH192,100,A
483,10953,PS193,89,A
484,10956,GE194,72,B
485,10960,EX195,56,D
486,10967,ET196,69,C
487,10968,TH197,86,A
488,10972,PS198,51,D
489,10973,SE199,65,C
490,10974,RE200,77,B
491,10977,DI201,69,C
492,10981,IN202,86,A
493,10985,PS203,52,D
494,10988,IN204,52,D
495,10989,PR205,63,C
496,10990,FO206,48,F
497,10991,FO208,56,D
498,10992,PR209,98,A
499,10993,ET210,95,A
500,10996,DI211,99,A
501,10997,RE212,94,A
502,10999,SO213,62,C
503,10001,PR214,56,D
504,10008,ET215,51,D
505,10011,LA216,48,F
506,10012,JU217,64,C
507,10013,PR218,72,B
508,10019,IN219,48,F
509,10021,LA220,68,C
510,10029,CR221,96,A
511,10033,LE222,85,A
512,10034,AR223,96,A
513,10036,CI224,65,C
514,10037,PR225,41,F
515,10038,PR226,83,A
516,10039,PR227,52,D
517,10040,QU228,90,A
518,10042,IN229,56,D
519,10043,CO230,99,A
520,10045,AD231,44,F
521,10052,TR232,45,F
522,10054,AD233,49,F
523,10056,AU234,57,D
524,10057,IN235,57,D
525,10058,AC236,86,A
526,10061,DI237,51,D
527,10070,RE238,77,B
528,10071,PR239,97,A
529,10072,AP240,47,F
530,10073,BU241,81,A
531,10075,PR242,85,A
532,10077,FI243,49,F
533,10079,DA244,95,A
534,10082,BU245,87,A
535,10085,AP246,63,C
536,10088,AP247,40,F
537,10089,PR248,97,A
538,10090,OP249,95,A
539,10091,ET250,53,D
540,10092,EL252,45,F
541,10095,MA100,85,A
542,10097,CH101,86,A
543,10099,EN102,79,B
544,10102,BA103,97,A
545,10103,ME104,45,F
546,10105,EN105,53,D
547,10106,PH106,77,B
548,10109,PR107,61,C
549,10111,EL108,70,B
550,10113,IN109,95,A
551,10119,DI110,46,F
552,10120,EL111,79,B
553,10122,EL112,66,C
554,10125,EL113,92,A
555,10126,CM114,43,F
556,10133,CO115,91,A
557,10134,EL116,89,A
558,10136,FI117,100,A
559,10137,EL118,86,A
560,10144,MA120,50,D
561,10147,CH121,77,B
562,10148,EL122,78,B
563,10150,PH124,73,B
564,10151,AD125,56,D
565,10152,EL126,70,B
566,10159,MA127,57,D
567,10162,LI128,64,C
568,10164,RE129,50,D
569,10167,DI130,42,F
570,10169,IN131,98,A
571,10171,BA132,79,B
572,10172,AN133,44,F
573,10173,GE134,58,D
574,10175,GE135,94,A
575,10180,EL136,59,D
576,10182,AN137,49,F
577,10183,BA138,80,A
578,10184,BA139,93,A
579,10188,AN141,74,B
580,10190,BI142,77,B
581,10194,AN143,43,F
582,10201,GE144,74,B
583,10205,AN145,54,D
584,10207,FI146,54,D
585,10208,PA147,61,C
586,10212,RE148,44,F
587,10213,BI149,67,C
588,10216,AN150,50,D
589,10217,AN151,84,A
590,10218,AN152,48,F
591,10223,PH153,62,C
592,10227,PH154,85,A
593,10228,FI155,90,A
594,10234,RA156,58,D
595,10236,PR157,58,D
596,10237,PR158,90,A
597,10238,ST159,85,A
598,10240,DA160,43,F
599,10245,DA161,45,F
600,10246,AP162,84,A
601,10249,DA163,59,D
602,10251,PR164,96,A
603,10255,PR165,69,C
604,10256,ST166,55,D
605,10258,DA167,91,A
606,10262,DA168,59,D
607,10263,MA169,94,A
608,10264,AP170,65,C
609,10265,DA171,45,F
610,10268,ST172,49,F
611,10276,MA173,96,A
612,10277,DI174,85,A
613,10278,SO175,56,D
614,10280,AD176,76,B
615,10281,NE177,80,A
616,10282,PR178,93,A
617,10289,WE179,64,C
618,10290,AP180,61,C
619,10291,EN181,90,A
620,10299,DA182,94,A
621,10300,CO183,42,F
622,10303,AP184,77,B
623,10305,WE185,42,F
624,10306,DI186,98,A
625,10307,SU187,92,A
626,10308,CL188,93,A
627,10310,TH189,57,D
628,10313,TH190,81,A
629,10317,TH191,46,F
630,10319,TH192,95,A
631,10320,PS193,98,A
632,10322,GE194,95,A
633,10328,EX195,75,B
634,10329,ET196,52,D
635,10336,TH197,71,B
636,10338,PS198,55,D
637,10341,SE199,77,B
638,10343,RE200,43,F
639,10344,IN202,67,C
640,10346,PS203,41,F
641,10347,IN204,73,B
642,10352,PR205,77,B
643,10358,FO206,50,D
644,10359,FO208,92,A
645,10365,PR209,75,B
646,10374,DI211,64,C
647,10377,RE212,76,B
648,10379,SO213,43,F
649,10381,PR214,54,D
650,10387,ET215,80,A
651,10388,LA216,99,A
652,10389,JU217,95,A
653,10391,PR218,86,A
654,10392,IN219,72,B
655,10395,LA220,46,F
656,10400,CR221,88,A
657,10403,LE222,98,A
658,10406,AR223,94,A
659,10409,CI224,93,A
660,10411,PR225,87,A
661,10415,PR226,96,A
662,10417,PR227,100,A
663,10418,IN229,79,B
664,10421,CO230,54,D
665,10424,AD231,81,A
666,10426,TR232,75,B
667,10428,AD233,49,F
668,10434,AU234,67,C
669,10435,IN235,41,F
670,10436,AC236,100,A
671,10445,RE238,51,D
672,10449,PR239,43,F
673,10450,AP240,53,D
674,10452,BU241,79,B
675,10457,PR242,45,F
676,10458,FI243,60,C
677,10460,DA244,77,B
678,10471,BU245,50,D
679,10473,AP246,50,D
680,10474,AP247,85,A
681,10475,PR248,81,A
682,10476,OP249,63,C
683,10479,ET250,99,A
684,10480,EL252,41,F
685,10481,MA100,53,D
686,10486,CH101,90,A
687,10488,EN102,98,A
688,10489,BA103,75,B
689,10494,ME104,77,B
690,10495,EN105,64,C
691,10498,PH106,74,B
692,10502,PR107,96,A
693,10503,EL108,52,D
694,10507,IN109,53,D
695,10508,DI110,81,A
696,10509,EL111,51,D
697,10513,EL112,41,F
698,10515,EL113,77,B
699,10518,CM114,89,A
700,10523,CO115,94,A
701,10524,EL116,82,A
702,10525,FI117,48,F
703,10530,EL118,77,B
704,10536,UT119,57,D
705,10537,MA120,90,A
706,10539,CH121,87,A
707,10541,EL122,91,A
708,10543,EN123,77,B
709,10545,PH124,40,F
710,10546,AD125,60,C
711,10548,EL126,43,F
712,10549,MA127,67,C
713,10550,LI128,44,F
714,10552,RE129,73,B
715,10554,DI130,58,D
716,10558,IN131,70,B
717,10559,BA132,61,C
718,10560,AN133,71,B
719,10569,GE134,94,A
720,10573,GE135,63,C
721,10574,EL136,67,C
722,10576,AN137,53,D
723,10577,BA138,51,D
724,10582,BA139,88,A
725,10583,FI140,59,D
726,10584,AN141,46,F
727,10586,BI142,43,F
728,10588,AN143,98,A
729,10589,AN145,85,A
730,10593,FI146,72,B
731,10598,PA147,47,F
732,10600,RE148,100,A
733,10606,BI149,42,F
734,10611,AN150,47,F
735,10614,AN151,77,B
736,10615,AN152,66,C
737,10617,PH153,41,F
738,10618,PH154,72,B
739,10620,FI155,50,D
740,10625,RA156,93,A
741,10626,PR157,89,A
742,10628,PR158,70,B
743,10632,ST159,92,A
744,10634,DA160,81,A
745,10636,DA161,99,A
746,10639,AP162,71,B
747,10643,DA163,59,D
748,10644,PR164,49,F
749,10646,PR165,87,A
750,10647,ST166,68,C
751,10649,DA167,75,B
752,10650,DA168,44,F
753,10651,MA169,49,F
754,10652,AP170,48,F
755,10659,DA171,97,A
756,10662,ST172,79,B
757,10663,MA173,47,F
758,10665,DI174,40,F
759,10671,SO175,95,A
760,10672,AD176,69,C
761,10673,NE177,96,A
762,10675,PR178,100,A
763,10676,WE179,61,C
764,10678,AP180,65,C
765,10682,EN181,57,D
766,10686,DA182,55,D
767,10687,CO183,54,D
768,10695,AP184,55,D
769,10697,WE185,87,A
770,10699,DI186,93,A
771,10700,SU187,80,A
772,10701,CL188,67,C
773,10703,TH189,89,A
774,10707,TH190,60,C
775,10709,TH191,55,D
776,10710,TH192,75,B
777,10716,PS193,86,A
778,10719,GE194,61,C
779,10723,EX195,44,F
780,10724,ET196,75,B
781,10728,PS198,80,A
782,10730,SE199,45,F
783,10731,RE200,80,A
784,10733,DI201,48,F
785,10734,IN202,79,B
786,10735,PS203,46,F
787,10741,IN204,52,D
788,10747,PR205,46,F
789,10748,FO206,85,A
790,10749,PS207,57,D
791,10751,FO208,89,A
792,10757,PR209,42,F
793,10758,ET210,54,D
794,10761,DI211,66,C
795,10762,RE212,40,F
796,10763,SO213,60,C
797,10767,PR214,80,A
798,10769,ET215,57,D
799,10770,LA216,74,B
800,10775,JU217,44,F
801,10778,PR218,75,B
802,10781,IN219,73,B
803,10782,LA220,83,A
804,10784,CR221,79,B
805,10785,LE222,52,D
806,10789,AR223,71,B
807,10790,CI224,53,D
808,10795,PR225,49,F
809,10800,PR226,64,C
810,10802,PR227,50,D
811,10804,QU228,58,D
812,10805,IN229,97,A
813,10808,CO230,43,F
814,10809,TR232,69,C
815,10814,AD233,88,A
816,10816,AU234,57,D
817,10817,IN235,83,A
818,10818,AC236,88,A
819,10819,DI237,59,D
820,10820,RE238,70,B
821,10822,PR239,53,D
822,10825,AP240,52,D
823,10826,BU241,90,A
824,10832,PR242,69,C
825,10838,FI243,92,A
826,10839,DA244,98,A
827,10842,BU245,57,D
828,10844,AP246,72,B
829,10847,AP247,83,A
830,10848,PR248,88,A
831,10850,OP249,47,F
832,10853,ET250,61,C
833,10854,ST251,96,A
834,10856,EL252,84,A
835,10858,MA100,47,F
836,10859,CH101,52,D
837,10861,EN102,53,D
838,10863,BA103,73,B
839,10865,ME104,41,F
840,10868,EN105,57,D
841,10869,PH106,94,A
842,10872,PR107,96,A
843,10873,EL108,83,A
844,10876,IN109,69,C
845,10877,DI110,48,F
846,10879,EL111,72,B
847,10883,EL112,75,B
848,10887,EL113,74,B
849,10892,CM114,98,A
850,10896,CO115,77,B
851,10899,EL116,53,D
852,10904,FI117,57,D
853,10908,EL118,78,B
854,10910,UT119,90,A
855,10913,MA120,99,A
856,10915,CH121,99,A
857,10916,EL122,57,D
858,10918,EN123,79,B
859,10925,PH124,50,D
860,10928,AD125,74,B
861,10931,EL126,75,B
862,10933,MA127,57,D
863,10934,LI128,87,A
864,10939,RE129,72,B
865,10940,DI130,40,F
866,10946,IN131,57,D
867,10948,BA132,79,B
868,10950,AN133,79,B
869,10954,GE134,85,A
870,10955,GE135,61,C
871,10957,EL136,61,C
872,10961,AN137,65,C
873,10965,BA138,78,B
874,10966,BA139,62,C
875,10968,FI140,54,D
876,10969,AN141,56,D
877,10973,BI142,77,B
878,10974,AN143,43,F
879,10978,AN145,99,A
880,10979,FI146,54,D
881,10982,PA147,96,A
882,10983,RE148,53,D
883,10984,BI149,58,D
884,10992,AN150,61,C
885,10993,AN151,61,C
886,10994,AN152,83,A
887,10996,PH153,40,F
888,10004,PH154,79,B
889,10006,FI155,98,A
890,10008,RA156,93,A
891,10011,PR157,88,A
892,10013,PR158,78,B
893,10014,ST159,73,B
894,10015,DA160,57,D
895,10017,DA161,42,F
896,10019,AP162,87,A
897,10021,DA163,54,D
898,10026,PR164,60,C
899,10029,PR165,45,F
900,10033,ST166,56,D
901,10034,DA167,84,A
902,10048,DA168,67,C
903,10051,MA169,59,D
904,10052,AP170,71,B
905,10053,DA171,96,A
906,10055,ST172,86,A
907,10057,MA173,47,F
908,10059,DI174,91,A
909,10060,SO175,80,A
910,10061,AD176,54,D
911,10064,NE177,50,D
912,10066,PR178,99,A
913,10069,WE179,81,A
914,10076,AP180,43,F
915,10081,DA182,88,A
916,10085,CO183,91,A
917,10086,AP184,42,F
918,10087,WE185,42,F
919,10088,DI186,74,B
920,10091,CL188,51,D
921,10092,TH189,57,D
922,10093,TH190,97,A
923,10094,TH192,83,A
924,10095,PS193,49,F
925,10098,GE194,44,F
926,10108,EX195,94,A
927,10110,ET196,54,D
928,10114,TH197,100,A
929,10118,PS198,75,B
930,10120,SE199,40,F
931,10122,RE200,82,A
932,10124,DI201,41,F
933,10126,IN202,99,A
934,10128,PS203,50,D
935,10132,IN204,51,D
936,10133,PR205,88,A
937,10134,FO206,88,A
938,10137,PS207,71,B
939,10139,FO208,46,F
940,10149,ET210,54,D
941,10151,DI211,52,D
942,10156,RE212,69,C
943,10157,SO213,54,D
944,10158,PR214,45,F
945,10159,ET215,44,F
946,10161,LA216,52,D
947,10162,JU217,73,B
948,10166,PR218,52,D
949,10167,IN219,69,C
950,10169,LA220,99,A
951,10171,CR221,71,B
952,10173,LE222,89,A
953,10176,AR223,48,F
954,10177,CI224,77,B
955,10178,PR225,48,F
956,10182,PR227,66,C
957,10187,IN229,65,C
958,10190,CO230,95,A
959,10194,TR232,85,A
960,10195,AD233,85,A
961,10202,AU234,70,B
962,10203,IN235,94,A
963,10205,AC236,74,B
964,10207,DI237,100,A
965,10208,RE238,52,D
966,10214,PR239,67,C
967,10218,AP240,79,B
968,10219,BU241,47,F
969,10220,PR242,46,F
970,10222,FI243,60,C
971,10223,DA244,94,A
972,10225,BU245,52,D
973,10226,AP246,80,A
974,10228,AP247,93,A
975,10232,PR248,66,C
976,10233,OP249,40,F
977,10234,ET250,88,A
978,10235,ST251,93,A
979,10236,EL252,98,A
980,10237,MA100,58,D
981,10238,CH101,56,D
982,10239,EN102,83,A
983,10243,BA103,71,B
984,10246,ME104,73,B
985,10248,EN105,74,B
986,10250,PH106,41,F
987,10251,PR107,48,F
988,10252,EL108,97,A
989,10253,IN109,71,B
990,10254,DI110,78,B
991,10257,EL111,48,F
992,10262,EL112,71,B
993,10267,EL113,80,A
994,10270,CM114,94,A
995,10272,CO115,79,B
996,10273,EL116,44,F
997,10279,FI117,60,C
998,10288,EL118,61,C
999,10292,UT119,84,A
1000,10296,MA120,49,F
1001,10299,CH121,63,C
1002,10304,EL122,97,A
1003,10309,EN123,83,A
1004,10310,PH124,59,D
1005,10312,AD125,99,A
1006,10315,EL126,96,A
1007,10322,MA127,77,B
1008,10324,LI128,92,A
1009,10329,RE129,62,C
1010,10332,DI130,68,C
1011,10334,IN131,90,A
1012,10335,BA132,44,F
1013,10341,AN133,45,F
1014,10343,GE134,86,A
1015,10344,EL136,100,A
1016,10346,AN137,47,F
1017,10348,BA138,67,C
1018,10349,BA139,54,D
1019,10357,FI140,66,C
1020,10358,AN141,80,A
1021,10359,BI142,69,C
1022,10360,AN143,95,A
1023,10367,GE144,83,A
1024,10368,AN145,92,A
1025,10371,FI146,60,C
1026,10372,PA147,62,C
1027,10373,RE148,86,A
1028,10374,BI149,65,C
1029,10378,AN150,69,C
1030,10379,AN151,95,A
1031,10388,AN152,81,A
1032,10389,PH153,95,A
1033,10392,PH154,94,A
1034,10393,FI155,87,A
1035,10395,RA156,49,F
1036,10397,PR157,56,D
1037,10399,ST159,51,D
1038,10400,DA160,74,B
1039,10402,DA161,42,F
1040,10403,AP162,84,A
1041,10409,DA163,85,A
1042,10410,PR164,67,C
1043,10412,PR165,79,B
1044,10419,ST166,87,A
1045,10423,DA167,66,C
1046,10425,DA168,65,C
1047,10426,MA169,86,A
1048,10432,AP170,83,A
1049,10434,DA171,99,A
1050,10435,ST172,66,C
1051,10439,MA173,49,F
1052,10440,DI174,47,F
1053,10441,SO175,86,A
1054,10442,AD176,90,A
1055,10444,NE177,66,C
1056,10449,PR178,92,A
1057,10450,WE179,92,A
1058,10451,AP180,82,A
1059,10459,EN181,63,C
1060,10461,DA182,99,A
1061,10465,CO183,56,D
1062,10467,AP184,74,B
1063,10468,WE185,75,B
1064,10471,DI186,41,F
1065,10472,SU187,44,F
1066,10474,CL188,59,D
1067,10476,TH189,99,A
1068,10479,TH190,80,A
1069,10480,TH191,74,B
1070,10487,TH192,68,C
1071,10488,PS193,70,B
1072,10495,GE194,94,A
1073,10498,EX195,97,A
1074,10502,ET196,45,F
1075,10504,TH197,54,D
1076,10505,PS198,58,D
1077,10506,SE199,44,F
1078,10508,RE200,63,C
1079,10512,DI201,90,A
1080,10513,IN202,78,B
1081,10515,PS203,92,A
1082,10517,IN204,43,F
1083,10518,PR205,53,D
1084,10522,FO206,93,A
1085,10524,FO208,49,F
1086,10526,PR209,76,B
1087,10527,ET210,80,A
1088,10529,DI211,73,B
1089,10530,RE212,46,F
1090,10532,SO213,43,F
1091,10533,PR214,72,B
1092,10534,ET215,48,F
1093,10535,LA216,84,A
1094,10538,JU217,84,A
1095,10544,PR218,97,A
1096,10548,IN219,53,D
1097,10551,LA220,97,A
1098,10552,CR221,49,F
1099,10554,LE222,91,A
1100,11002,MA100,88,A
1101,11003,CH101,72,B
1102,11006,EN102,92,A
1103,11009,BA103,83,A
1104,11011,ME104,64,C
1105,11014,EN105,74,B
1106,11015,PH106,100,A
1107,11017,PR107,80,A
1108,11018,EL108,55,D
1109,11022,IN109,99,A
1110,11024,DI110,100,A
1111,11026,EL111,83,A
1112,11031,EL112,80,A
1113,11034,EL113,89,A
1114,11036,CM114,43,F
1115,11038,CO115,79,B
1116,11041,EL116,91,A
1117,11042,FI117,61,C
1118,11046,EL118,79,B
1119,11049,UT119,75,B
1120,11050,MA120,67,C
1121,11051,CH121,92,A
1122,11053,EL122,46,F
1123,11055,EN123,43,F
1124,11061,PH124,63,C
1125,11063,EL126,82,A
1126,11067,MA127,63,C
1127,11068,LI128,58,D
1128,11072,RE129,95,A
1129,11073,DI130,53,D
1130,11075,IN131,48,F
1131,11081,BA132,43,F
1132,11083,AN133,62,C
1133,11086,GE134,97,A
1134,11088,GE135,54,D
1135,11093,EL136,42,F
1136,11094,AN137,57,D
1137,11096,BA138,88,A
1138,11098,BA139,96,A
1139,11099,FI140,93,A
1140,11100,AN141,57,D
1141,11108,BI142,87,A
1142,11111,AN143,53,D
1143,11112,GE144,65,C
1144,11114,AN145,65,C
1145,11116,FI146,45,F
1146,11121,PA147,46,F
1147,11122,RE148,95,A
1148,11126,BI149,57,D
1149,11127,AN150,97,A
1150,11128,AN151,83,A
1151,11129,AN152,86,A
1152,11137,PH153,92,A
1153,11138,PH154,91,A
1154,11139,FI155,54,D
1155,11141,RA156,63,C
1156,11143,PR157,51,D
1157,11145,PR158,83,A
1158,11147,ST159,79,B
1159,11151,DA160,76,B
1160,11152,DA161,83,A
